profile_id,age,annual_income,state,occupation,education_level,social_category,gender,employment_status,user_type,scheme_id,scheme_category,beneficiary_level,matched_conditions,failed_conditions,missing_conditions,match_percentage,required_documents_count,manual_verification_required,has_failed_condition,has_missing_information,is_individual_scheme,status,relevance_label,is_relevant
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,MED003,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,MED004,Healthcare / Financial Assistance,individual,13,1,0,0.9285714285714286,5,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,MED005,Healthcare / Insurance,individual,12,2,0,0.8571428571428571,4,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,WOM001,Women & Child Development / Nutrition,individual,11,3,0,0.7857142857142857,3,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,HEA001,Healthcare / Pharmaceuticals,individual,12,2,0,0.8571428571428571,5,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU003,Education / Nutrition,individual,11,3,0,0.7857142857142857,2,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU004,Scholarship / Disability Welfare,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU005,Scholarship / Social Justice,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU006,Scholarship / Women Education,individual,12,2,1,0.8,5,1,1,1,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,RES002,Higher Education / Research Fellowship,individual,9,5,0,0.6428571428571429,6,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,SKI001,Skill Development / Minority Affairs,individual,10,4,0,0.7142857142857143,4,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,WOM002,Women & Child Development / Justice,individual,13,1,0,0.9285714285714286,2,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU007,Scholarship / Education,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,RES003,Science & Technology / Research Fellowship,individual,8,6,0,0.5714285714285714,5,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,EDU008,Higher Education / Electronics & IT Research,individual,10,4,0,0.7142857142857143,4,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,RES004,Science & Technology / Engineering Fellowship,individual,9,5,0,0.6428571428571429,4,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,CUL002,Culture / Arts & Performing Arts,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,CUL003,Culture / State Recognition,individual,10,4,0,0.7142857142857143,5,1,1,0,1,not_eligible,0,0
P001,20,150000,Delhi,student,undergraduate,general,female,student,student,CUL004,Culture / Infrastructure Support,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MED001,Health / Social Welfare,individual,10,4,0,0.7142857142857143,9,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,CUL001,Culture / Pension,individual,10,4,0,0.7142857142857143,8,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SOC001,Social Security / Pension,individual,10,4,0,0.7142857142857143,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,HOU001,Housing / LGBTQ+ Welfare,individual,11,3,0,0.7857142857142857,3,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EXT001,External Affairs / Overseas Welfare,individual,14,0,0,1.0,4,1,0,0,1,eligible,2,1
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RUR001,Rural Infrastructure / Energy,community,11,3,0,0.7857142857142857,3,1,1,0,0,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU001,Education / Disability,institution,11,3,0,0.7857142857142857,6,1,1,0,0,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU002,Scholarship / Education,individual,10,4,0,0.7142857142857143,7,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RES001,Research & Development,institution,10,4,0,0.7142857142857143,5,1,1,0,0,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,FIN001,Financial Inclusion / Insurance,individual,13,1,0,0.9285714285714286,4,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,AGR001,Fisheries / Social Security,individual,11,3,0,0.7857142857142857,8,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MED002,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SOC002,Social Security / Healthcare,individual,10,4,0,0.7142857142857143,6,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EMP001,Entrepreneurship / Minority Welfare,individual,8,6,0,0.5714285714285714,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SKL001,Skill Development / Agriculture,organization,11,3,0,0.7857142857142857,4,0,1,0,0,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,AGR002,Agriculture / Export Promotion,organization,12,2,0,0.8571428571428571,4,1,1,0,0,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,AGR003,Agriculture / Farm Mechanization,individual,12,2,1,0.8,5,0,1,1,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RUR002,Rural Development / Land Ownership,individual,13,1,0,0.9285714285714286,3,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,DIS001,Disability Welfare / Transport Aid,individual,8,6,0,0.5714285714285714,7,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SKL002,Skill Development / Entrepreneurship,individual,9,5,0,0.6428571428571429,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SOC003,Minority Welfare / Financial Assistance,individual,9,5,0,0.6428571428571429,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MIN001,Minority Welfare / Skill & Livelihood,individual,11,3,0,0.7857142857142857,4,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,COM001,Commerce & Industry / Recognition,individual,12,2,0,0.8571428571428571,3,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SCI001,Science & Technology / Innovation,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,FIN002,Financial Inclusion / Entrepreneurship,individual,12,2,0,0.8571428571428571,6,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MED003,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MED004,Healthcare / Financial Assistance,individual,13,1,0,0.9285714285714286,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,MED005,Healthcare / Insurance,individual,12,2,0,0.8571428571428571,4,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,WOM001,Women & Child Development / Nutrition,individual,11,3,0,0.7857142857142857,3,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,HEA001,Healthcare / Pharmaceuticals,individual,12,2,0,0.8571428571428571,5,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU003,Education / Nutrition,individual,11,3,0,0.7857142857142857,2,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU004,Scholarship / Disability Welfare,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU005,Scholarship / Social Justice,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU006,Scholarship / Women Education,individual,12,2,1,0.8,5,1,1,1,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RES002,Higher Education / Research Fellowship,individual,9,5,0,0.6428571428571429,6,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,SKI001,Skill Development / Minority Affairs,individual,10,4,0,0.7142857142857143,4,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,WOM002,Women & Child Development / Justice,individual,13,1,0,0.9285714285714286,2,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU007,Scholarship / Education,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RES003,Science & Technology / Research Fellowship,individual,8,6,0,0.5714285714285714,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,EDU008,Higher Education / Electronics & IT Research,individual,10,4,0,0.7142857142857143,4,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,RES004,Science & Technology / Engineering Fellowship,individual,9,5,0,0.6428571428571429,4,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,CUL002,Culture / Arts & Performing Arts,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,CUL003,Culture / State Recognition,individual,10,4,0,0.7142857142857143,5,1,1,0,1,not_eligible,0,0
P002,20,165000,Delhi,student,undergraduate,general,female,student,student,CUL004,Culture / Infrastructure Support,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MED001,Health / Social Welfare,individual,10,4,0,0.7142857142857143,9,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,CUL001,Culture / Pension,individual,10,4,0,0.7142857142857143,8,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SOC001,Social Security / Pension,individual,10,4,0,0.7142857142857143,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,HOU001,Housing / LGBTQ+ Welfare,individual,11,3,0,0.7857142857142857,3,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EXT001,External Affairs / Overseas Welfare,individual,14,0,0,1.0,4,1,0,0,1,eligible,2,1
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RUR001,Rural Infrastructure / Energy,community,11,3,0,0.7857142857142857,3,1,1,0,0,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU001,Education / Disability,institution,11,3,0,0.7857142857142857,6,1,1,0,0,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU002,Scholarship / Education,individual,10,4,0,0.7142857142857143,7,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RES001,Research & Development,institution,10,4,0,0.7142857142857143,5,1,1,0,0,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,FIN001,Financial Inclusion / Insurance,individual,13,1,0,0.9285714285714286,4,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,AGR001,Fisheries / Social Security,individual,11,3,0,0.7857142857142857,8,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MED002,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SOC002,Social Security / Healthcare,individual,10,4,0,0.7142857142857143,6,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EMP001,Entrepreneurship / Minority Welfare,individual,8,6,0,0.5714285714285714,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SKL001,Skill Development / Agriculture,organization,11,3,0,0.7857142857142857,4,0,1,0,0,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,AGR002,Agriculture / Export Promotion,organization,12,2,0,0.8571428571428571,4,1,1,0,0,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,AGR003,Agriculture / Farm Mechanization,individual,12,2,1,0.8,5,0,1,1,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RUR002,Rural Development / Land Ownership,individual,13,1,0,0.9285714285714286,3,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,DIS001,Disability Welfare / Transport Aid,individual,8,6,0,0.5714285714285714,7,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SKL002,Skill Development / Entrepreneurship,individual,9,5,0,0.6428571428571429,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SOC003,Minority Welfare / Financial Assistance,individual,9,5,0,0.6428571428571429,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MIN001,Minority Welfare / Skill & Livelihood,individual,11,3,0,0.7857142857142857,4,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,COM001,Commerce & Industry / Recognition,individual,12,2,0,0.8571428571428571,3,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SCI001,Science & Technology / Innovation,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,FIN002,Financial Inclusion / Entrepreneurship,individual,12,2,0,0.8571428571428571,6,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MED003,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MED004,Healthcare / Financial Assistance,individual,13,1,0,0.9285714285714286,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,MED005,Healthcare / Insurance,individual,12,2,0,0.8571428571428571,4,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,WOM001,Women & Child Development / Nutrition,individual,11,3,0,0.7857142857142857,3,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,HEA001,Healthcare / Pharmaceuticals,individual,12,2,0,0.8571428571428571,5,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU003,Education / Nutrition,individual,11,3,0,0.7857142857142857,2,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU004,Scholarship / Disability Welfare,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU005,Scholarship / Social Justice,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU006,Scholarship / Women Education,individual,12,2,1,0.8,5,1,1,1,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RES002,Higher Education / Research Fellowship,individual,9,5,0,0.6428571428571429,6,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,SKI001,Skill Development / Minority Affairs,individual,10,4,0,0.7142857142857143,4,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,WOM002,Women & Child Development / Justice,individual,13,1,0,0.9285714285714286,2,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU007,Scholarship / Education,individual,11,3,0,0.7857142857142857,6,0,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RES003,Science & Technology / Research Fellowship,individual,8,6,0,0.5714285714285714,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,EDU008,Higher Education / Electronics & IT Research,individual,10,4,0,0.7142857142857143,4,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,RES004,Science & Technology / Engineering Fellowship,individual,9,5,0,0.6428571428571429,4,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,CUL002,Culture / Arts & Performing Arts,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,CUL003,Culture / State Recognition,individual,10,4,0,0.7142857142857143,5,1,1,0,1,not_eligible,0,0
P003,20,180000,Delhi,student,undergraduate,general,female,student,student,CUL004,Culture / Infrastructure Support,individual,11,3,0,0.7857142857142857,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MED001,Health / Social Welfare,individual,10,4,0,0.7142857142857143,9,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,CUL001,Culture / Pension,individual,10,4,0,0.7142857142857143,8,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SOC001,Social Security / Pension,individual,10,4,0,0.7142857142857143,6,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,HOU001,Housing / LGBTQ+ Welfare,individual,11,3,0,0.7857142857142857,3,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,EXT001,External Affairs / Overseas Welfare,individual,14,0,0,1.0,4,1,0,0,1,eligible,2,1
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,RUR001,Rural Infrastructure / Energy,community,11,3,0,0.7857142857142857,3,1,1,0,0,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,EDU001,Education / Disability,institution,11,3,0,0.7857142857142857,6,1,1,0,0,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,EDU002,Scholarship / Education,individual,10,4,0,0.7142857142857143,7,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,RES001,Research & Development,institution,10,4,0,0.7142857142857143,5,1,1,0,0,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,FIN001,Financial Inclusion / Insurance,individual,13,1,0,0.9285714285714286,4,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,AGR001,Fisheries / Social Security,individual,11,3,0,0.7857142857142857,8,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MED002,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SOC002,Social Security / Healthcare,individual,10,4,0,0.7142857142857143,6,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,EMP001,Entrepreneurship / Minority Welfare,individual,8,6,0,0.5714285714285714,6,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SKL001,Skill Development / Agriculture,organization,11,3,0,0.7857142857142857,4,0,1,0,0,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,AGR002,Agriculture / Export Promotion,organization,12,2,0,0.8571428571428571,4,1,1,0,0,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,AGR003,Agriculture / Farm Mechanization,individual,12,2,1,0.8,5,0,1,1,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,RUR002,Rural Development / Land Ownership,individual,13,1,0,0.9285714285714286,3,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,DIS001,Disability Welfare / Transport Aid,individual,8,6,0,0.5714285714285714,7,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SKL002,Skill Development / Entrepreneurship,individual,9,5,0,0.6428571428571429,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SOC003,Minority Welfare / Financial Assistance,individual,9,5,0,0.6428571428571429,6,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MIN001,Minority Welfare / Skill & Livelihood,individual,11,3,0,0.7857142857142857,4,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,COM001,Commerce & Industry / Recognition,individual,12,2,0,0.8571428571428571,3,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,SCI001,Science & Technology / Innovation,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,FIN002,Financial Inclusion / Entrepreneurship,individual,12,2,0,0.8571428571428571,6,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MED003,Health / Financial Assistance,individual,12,2,0,0.8571428571428571,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MED004,Healthcare / Financial Assistance,individual,13,1,0,0.9285714285714286,5,1,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,MED005,Healthcare / Insurance,individual,12,2,0,0.8571428571428571,4,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,WOM001,Women & Child Development / Nutrition,individual,11,3,0,0.7857142857142857,3,0,1,0,1,not_eligible,0,0
P004,18,165000,Delhi,student,undergraduate,general,female,student,student,HEA001,Healthcare / Pharmaceuticals,individual,12,2,0,0.8571428571428571,5,0,1,0,1,not_eligible,0,0
